PlayerFirstName,PlayerLastName,TeamShortName,GP,Poss,Time,PPP,PPG,FGM,FGA,FG,aFG,FT,TO,SF,FGmG,Score
Quinn,Cook,GoldenState,19,2,2.3809499740601,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.052631578947368,0.0
Royce,ONeale,Utah,54,15,5.1194500923157,0.60000002384186,0.16666666666667,3,11,27.272727272727,31.818181818182,6.6666666666667,20.0,6.6666666666667,0.14814814814815,26.666666666667
Omri,Casspi,GoldenState,52,7,2.6022300720215,1.5714299678802,0.21153846153846,5,6,83.333333333333,83.333333333333,14.285714285714,14.285714285714,14.285714285714,0.019230769230769,71.428571428571
JaKarr,Sampson,Sacramento,14,2,4.08163022995,1.0,0.14285714285714,0,1,0.0,0.0,50.0,0.0,50.0,0.071428571428571,50.0
Jason,Terry,Milwaukee,37,3,2.4193499088287,1.0,0.081081081081081,1,3,33.333333333333,50.0,0.0,0.0,0.0,0.054054054054054,33.333333333333
Montrezl,Harrell,LAClippers,60,10,1.9305000305176,1.2999999523163,0.21666666666667,6,10,60.0,60.0,20.0,0.0,20.0,0.066666666666667,60.0
Sam,Dekker,LAClippers,59,13,4.8689098358154,1.0,0.22033898305085,4,9,44.444444444444,50.0,15.384615384615,15.384615384615,15.384615384615,0.084745762711864,46.153846153846
Trey,Lyles,Denver,62,38,6.2706298828125,0.78947401046753,0.48387096774194,7,27,25.925925925926,27.777777777778,23.684210526316,5.2631578947368,21.052631578947,0.32258064516129,39.473684210526
Quincy,Acy,Brooklyn,59,2,0.52493399381638,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.033898305084746,0.0
Gorgui,Dieng,Minnesota,66,4,0.94562602043152,1.0,0.060606060606061,2,4,50.0,50.0,0.0,0.0,0.0,0.03030303030303,50.0
Bam,Adebayo,Miami,59,9,2.2004899978638,1.3333300352097,0.20338983050847,5,7,71.428571428571,71.428571428571,11.111111111111,11.111111111111,11.111111111111,0.033898305084746,66.666666666667
Tony,Parker,SanAntonio,41,24,5.9553399085999,0.70833301544189,0.41463414634146,7,18,38.888888888889,38.888888888889,8.3333333333333,16.666666666667,8.3333333333333,0.26829268292683,37.5
Elfrid,Payton,Phoenix,13,17,7.5555601119995,0.82352900505066,1.0769230769231,6,15,40.0,40.0,5.8823529411765,5.8823529411765,5.8823529411765,0.69230769230769,41.176470588235
Guillermo,Hernangomez,NewYork,16,3,3.4090900421143,0.66666698455811,0.125,1,2,50.0,50.0,0.0,33.333333333333,0.0,0.0625,33.333333333333
DeAndre,Bembry,Atlanta,21,4,2.6490099430084,1.0,0.19047619047619,2,3,66.666666666667,66.666666666667,25.0,25.0,25.0,0.047619047619048,50.0
Derrick,Favors,Utah,64,6,0.81632697582245,0.0,0.0,0,4,0.0,0.0,0.0,33.333333333333,0.0,0.0625,0.0
Tony,Allen,NewOrleans,22,3,2.5,0.66666698455811,0.090909090909091,1,2,50.0,50.0,0.0,33.333333333333,0.0,0.045454545454545,33.333333333333
Kevon,Looney,GoldenState,53,4,2.3952100276947,0.5,0.037735849056604,1,3,33.333333333333,33.333333333333,0.0,25.0,0.0,0.037735849056604,25.0
Mike,Scott,Washington,64,14,2.7026998996735,1.3571399450302,0.296875,9,14,64.285714285714,64.285714285714,7.1428571428571,0.0,7.1428571428571,0.078125,64.285714285714
David,West,GoldenState,59,6,1.5267200469971,1.1666699647903,0.11864406779661,3,6,50.0,50.0,16.666666666667,0.0,16.666666666667,0.050847457627119,50.0
Jose,Calderon,Cleveland,45,6,3.7267100811005,1.5,0.2,4,5,80.0,90.0,0.0,16.666666666667,0.0,0.022222222222222,66.666666666667
Amir,Johnson,Philadelphia,60,6,2.1052598953247,1.3333300352097,0.13333333333333,3,5,60.0,60.0,16.666666666667,0.0,16.666666666667,0.033333333333333,66.666666666667
Eric,Moreland,Detroit,55,8,6.3492097854614,0.75,0.10909090909091,3,7,42.857142857143,42.857142857143,12.5,12.5,12.5,0.072727272727273,37.5
Channing,Frye,Cleveland,44,2,1.0416699647903,2.0,0.090909090909091,2,2,100.0,100.0,0.0,0.0,0.0,0.0,100.0
Ramon,Sessions,NewYork,13,2,2.7026998996735,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.15384615384615,0.0
Michael,Carter-Williams,Charlotte,52,23,7.0987701416016,1.1739100217819,0.51923076923077,7,14,50.0,53.571428571429,30.434782608696,8.695652173913,30.434782608696,0.13461538461538,60.869565217391
Arron,Afflalo,Orlando,47,8,4.7058801651001,1.0,0.17021276595745,3,6,50.0,50.0,12.5,12.5,12.5,0.063829787234043,50.0
Rajon,Rondo,NewOrleans,53,29,5.6092801094055,1.0689699649811,0.58490566037736,13,27,48.148148148148,55.555555555556,3.448275862069,3.448275862069,3.448275862069,0.26415094339623,48.275862068966
Noah,Vonleh,Portland,33,2,1.612900018692,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.03030303030303,0.0
Quincy,Pondexter,Chicago,16,1,1.6393400430679,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
Langston,Galloway,Detroit,53,6,1.8126900196075,0.5,0.056603773584906,1,5,20.0,30.0,0.0,16.666666666667,0.0,0.075471698113208,16.666666666667
Antonio,Blakeney,Chicago,15,16,13.559300422668,0.75,0.8,3,13,23.076923076923,30.769230769231,12.5,6.25,12.5,0.66666666666667,31.25
JaMychal,Green,Memphis,46,18,3.4682099819183,0.61111098527908,0.23913043478261,4,17,23.529411764706,26.470588235294,5.5555555555556,0.0,5.5555555555556,0.28260869565217,27.777777777778
Nicolas,Batum,Charlotte,54,42,5.801109790802,1.0,0.77777777777778,18,38,47.368421052632,51.315789473684,4.7619047619048,7.1428571428571,4.7619047619048,0.37037037037037,45.238095238095
OG,Anunoby,Toronto,60,4,1.1594200134277,0.75,0.05,1,4,25.0,37.5,0.0,0.0,0.0,0.05,25.0
Wesley,Johnson,LAClippers,60,3,0.77519398927689,1.6666699647903,0.083333333333333,2,2,100.0,125.0,0.0,33.333333333333,0.0,0.0,66.666666666667
Brandan,Wright,Memphis,28,2,1.6528899669647,1.0,0.071428571428571,1,2,50.0,50.0,0.0,0.0,0.0,0.035714285714286,50.0
Caleb,Swanigan,Portland,12,1,1.8518500328064,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Ryan,Anderson,Houston,57,10,1.9305000305176,0.69999998807907,0.12280701754386,1,5,20.0,20.0,30.0,20.0,30.0,0.070175438596491,40.0
Jawun,Evans,LAClippers,41,21,6.7741899490356,0.76190501451492,0.39024390243902,4,16,25.0,28.125,23.809523809524,4.7619047619048,23.809523809524,0.29268292682927,38.095238095238
Marco,Belinelli,Philadelphia,12,2,1.5503900051117,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.16666666666667,0.0
Ben,McLemore,Memphis,44,6,1.7647099494934,0.33333298563957,0.045454545454545,1,6,16.666666666667,16.666666666667,0.0,0.0,0.0,0.11363636363636,16.666666666667
Bobby,Portis,Chicago,58,33,4.3080902099609,0.93939399719238,0.53448275862069,14,30,46.666666666667,46.666666666667,12.121212121212,0.0,9.0909090909091,0.27586206896552,51.515151515152
Timothé,Luwawu-Cabarrot,Philadelphia,52,5,1.5015000104904,0.0,0.0,0,2,0.0,0.0,0.0,60.0,0.0,0.038461538461538,0.0
Malik,Monk,Charlotte,11,11,8.2706804275513,0.72727298736572,0.72727272727273,4,11,36.363636363636,36.363636363636,0.0,0.0,0.0,0.63636363636364,36.363636363636
Kyle,Korver,Cleveland,67,3,0.58593797683716,1.0,0.044776119402985,1,3,33.333333333333,50.0,0.0,0.0,0.0,0.029850746268657,33.333333333333
Thon,Maker,Milwaukee,66,5,1.4124300479889,1.2000000476837,0.090909090909091,1,2,50.0,75.0,40.0,20.0,40.0,0.015151515151515,40.0
Isaiah,Whitehead,Brooklyn,16,17,14.406800270081,0.88235300779343,0.9375,5,10,50.0,55.0,23.529411764706,23.529411764706,23.529411764706,0.3125,41.176470588235
Rudy,Gobert,Utah,42,4,0.77669900655746,0.0,0.0,0,3,0.0,0.0,25.0,0.0,25.0,0.071428571428571,0.0
Marcin,Gortat,Washington,69,5,0.8051530122757,0.80000001192093,0.057971014492754,2,4,50.0,50.0,0.0,20.0,0.0,0.028985507246377,40.0
Malik,Beasley,Denver,56,8,3.8647298812866,0.375,0.053571428571429,1,7,14.285714285714,21.428571428571,0.0,12.5,0.0,0.10714285714286,12.5
Allen,Crabbe,Brooklyn,64,26,3.1980299949646,0.96153801679611,0.390625,11,24,45.833333333333,50.0,3.8461538461538,3.8461538461538,3.8461538461538,0.203125,46.153846153846
Markieff,Morris,Washington,60,40,5.698009967804,0.92500001192093,0.61666666666667,16,32,50.0,50.0,10.0,12.5,10.0,0.26666666666667,47.5
Willie,Reed,LAClippers,39,6,3.6585400104523,0.66666698455811,0.1025641025641,1,2,50.0,50.0,33.333333333333,33.333333333333,33.333333333333,0.025641025641026,33.333333333333
Jonas,Valanciunas,Toronto,63,20,2.789400100708,1.1499999761581,0.36507936507937,11,17,64.705882352941,67.647058823529,0.0,15.0,0.0,0.095238095238095,55.0
Luke,Babbitt,Atlanta,37,1,0.52083301544189,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.0
Ian,Mahinmi,Washington,66,4,1.2012000083923,0.5,0.03030303030303,1,4,25.0,25.0,0.0,0.0,0.0,0.045454545454545,25.0
Nemanja,Bjelica,Minnesota,54,9,2.6706199645996,1.0,0.16666666666667,4,8,50.0,56.25,0.0,11.111111111111,0.0,0.074074074074074,44.444444444444
Bryn,Forbes,SanAntonio,66,4,0.79840302467346,0.75,0.045454545454545,1,3,33.333333333333,50.0,0.0,25.0,0.0,0.03030303030303,25.0
Maxi,Kleber,Dallas,58,2,0.6968640089035,1.0,0.03448275862069,1,2,50.0,50.0,0.0,0.0,0.0,0.017241379310345,50.0
Anthony,Tolliver,Detroit,64,2,0.45662099123001,2.5,0.078125,2,2,100.0,100.0,50.0,0.0,50.0,0.0,100.0
Dewayne,Dedmon,Atlanta,49,5,1.1185699701309,0.40000000596046,0.040816326530612,1,4,25.0,25.0,0.0,20.0,0.0,0.061224489795918,20.0
Joe,Harris,Brooklyn,66,7,1.1253999471664,1.5714299678802,0.16666666666667,4,7,57.142857142857,78.571428571429,0.0,0.0,0.0,0.045454545454545,57.142857142857
Marcus,Morris,Boston,43,67,11.985699653625,0.91044801473618,1.4186046511628,24,60,40.0,40.833333333333,10.44776119403,0.0,8.955223880597,0.83720930232558,46.268656716418
Cody,Zeller,Charlotte,33,2,0.88888901472092,1.0,0.060606060606061,1,1,100.0,100.0,0.0,50.0,0.0,0.0,50.0
Myles,Turner,Indiana,51,18,2.6745901107788,1.0555599927902,0.37254901960784,9,16,56.25,56.25,11.111111111111,5.5555555555556,11.111111111111,0.13725490196078,55.555555555556
Brandon,Paul,SanAntonio,48,2,1.3698600530624,1.5,0.0625,1,1,100.0,100.0,50.0,0.0,50.0,0.0,100.0
Nick,Young,GoldenState,66,15,3.7220799922943,1.0,0.22727272727273,6,13,46.153846153846,53.846153846154,6.6666666666667,13.333333333333,6.6666666666667,0.10606060606061,40.0
Dragan,Bender,Phoenix,69,15,3.0612199306488,0.93333297967911,0.20289855072464,5,11,45.454545454545,45.454545454545,20.0,13.333333333333,20.0,0.08695652173913,46.666666666667
Tyus,Jones,Minnesota,69,13,3.7464001178741,0.46153798699379,0.08695652173913,3,11,27.272727272727,27.272727272727,0.0,15.384615384615,0.0,0.11594202898551,23.076923076923
Tyler,Johnson,Miami,59,13,1.8361599445343,0.53846198320389,0.11864406779661,3,11,27.272727272727,31.818181818182,0.0,15.384615384615,0.0,0.13559322033898,23.076923076923
Tomas,Satoransky,Washington,60,19,4.7263698577881,0.73684197664261,0.23333333333333,4,10,40.0,40.0,26.315789473684,26.315789473684,21.052631578947,0.1,36.842105263158
Kris,Dunn,Chicago,51,66,7.7012801170349,0.84848499298096,1.0980392156863,24,58,41.379310344828,43.103448275862,7.5757575757576,4.5454545454545,6.0606060606061,0.66666666666667,42.424242424242
Mangok,Mathiang,Charlotte,11,2,10.526300430298,1.0,0.18181818181818,1,2,50.0,50.0,0.0,0.0,0.0,0.090909090909091,50.0
Sindarius,Thornwell,LAClippers,57,8,3.7914700508118,0.625,0.087719298245614,2,7,28.571428571429,28.571428571429,12.5,0.0,12.5,0.087719298245614,37.5
Dwight ,Powell,Dallas,67,9,1.8987300395966,0.22222200036049,0.029850746268657,1,8,12.5,12.5,0.0,11.111111111111,0.0,0.1044776119403,11.111111111111
Aron,Baynes,Boston,66,3,0.68181800842285,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.045454545454545,0.0
Mirza,Teletovic,Milwaukee,10,1,1.5625,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Taj,Gibson,Minnesota,69,10,1.2953399419785,1.2000000476837,0.17391304347826,6,9,66.666666666667,66.666666666667,0.0,10.0,0.0,0.043478260869565,60.0
Domantas,Sabonis,Indiana,65,2,0.2525250017643,0.0,0.0,0,1,0.0,0.0,0.0,50.0,0.0,0.015384615384615,0.0
Alex,Abrines,OklahomaCity,64,9,3.0201299190521,0.22222200036049,0.03125,0,6,0.0,0.0,11.111111111111,22.222222222222,11.111111111111,0.09375,11.111111111111
Kosta,Koufos,Sacramento,64,20,4.7618999481201,0.80000001192093,0.25,8,18,44.444444444444,44.444444444444,0.0,10.0,0.0,0.15625,40.0
Michael,Kidd-Gilchrist,Charlotte,60,19,3.3450698852539,1.3157900571823,0.41666666666667,9,13,69.230769230769,69.230769230769,26.315789473684,5.2631578947368,26.315789473684,0.066666666666667,73.684210526316
Kyle,O'Quinn,NewYork,66,30,6.7114100456238,0.73333299160004,0.33333333333333,10,28,35.714285714286,35.714285714286,3.3333333333333,3.3333333333333,3.3333333333333,0.27272727272727,36.666666666667
Andre,Iguodala,GoldenState,56,22,6.1111102104187,0.6363639831543,0.25,4,15,26.666666666667,26.666666666667,13.636363636364,18.181818181818,9.0909090909091,0.19642857142857,31.818181818182
Thabo,Sefolosha,Utah,38,9,3.0612199306488,0.44444400072098,0.10526315789474,2,7,28.571428571429,28.571428571429,0.0,22.222222222222,0.0,0.13157894736842,22.222222222222
Josh,Richardson,Miami,68,25,2.7233099937439,0.75999999046326,0.27941176470588,9,18,50.0,52.777777777778,0.0,28.0,0.0,0.13235294117647,36.0
Jason,Smith,Washington,15,3,4.2253499031067,0.66666698455811,0.13333333333333,1,3,33.333333333333,33.333333333333,0.0,0.0,0.0,0.13333333333333,33.333333333333
Malachi,Richardson,Sacramento,25,4,3.7037000656128,1.25,0.2,2,4,50.0,62.5,0.0,0.0,0.0,0.08,50.0
